time	I(R5)
Step Information: R=1  (Step: 1/11)
0.000000000000000e+00	-3.724483e-20
1.279999963799128e-07	-3.063087e-07
2.559999927598255e-07	-6.127709e-07
5.119999855196511e-07	-1.226465e-06
1.023999971039302e-06	-2.457243e-06
2.047999942078604e-06	-4.931293e-06
4.095999884157209e-06	-9.920675e-06
8.191999768314417e-06	-2.001445e-05
1.638399953662883e-05	-4.043723e-05
3.276799907325767e-05	-8.156257e-05
6.553599814651534e-05	-1.639255e-04
1.310719962930307e-04	-3.286300e-04
2.621439925860614e-04	-6.580458e-04
5.242879851721227e-04	-1.316829e-03
1.048575970344245e-03	-2.634092e-03
2.048575970344245e-03	-5.144286e-03
5.048575970344246e-03	-1.263466e-02
6.048575970344246e-03	-1.510973e-02
7.048575970344246e-03	-1.754786e-02
8.048575970344245e-03	-1.995224e-02
9.048575970344246e-03	-2.233479e-02
1.004857597034425e-02	-2.469428e-02
1.104857597034425e-02	-2.702885e-02
1.304857597034425e-02	-3.161474e-02
1.504857597034425e-02	-3.607525e-02
1.604857597034425e-02	-3.825314e-02
1.804857597034425e-02	-4.249375e-02
2.004857597034426e-02	-4.656725e-02
2.204857597034426e-02	-5.045774e-02
2.404857597034426e-02	-5.415005e-02
2.604857597034426e-02	-5.762975e-02
2.904857597034426e-02	-6.242110e-02
3.104857597034427e-02	-6.531157e-02
3.204857597034427e-02	-6.665849e-02
3.304857597034427e-02	-6.792498e-02
3.404857597034427e-02	-6.911466e-02
3.704857597034427e-02	-7.225527e-02
3.804857597034427e-02	-7.316362e-02
3.904857597034427e-02	-7.400293e-02
4.004857597034427e-02	-7.477266e-02
4.104857597034427e-02	-7.547212e-02
4.204857597034427e-02	-7.610048e-02
4.304857597034428e-02	-7.665689e-02
4.404857597034428e-02	-7.714006e-02
4.504857597034428e-02	-7.754904e-02
4.604857597034428e-02	-7.788346e-02
4.704857597034428e-02	-7.814305e-02
4.804857597034428e-02	-7.832758e-02
4.904857597034428e-02	-7.843690e-02
5.004857597034428e-02	-7.847092e-02
5.104857597034428e-02	-7.842959e-02
5.204857597034428e-02	-7.831295e-02
5.304857597034428e-02	-7.812112e-02
5.404857597034429e-02	-7.785425e-02
5.504857597034429e-02	-7.751257e-02
5.604857597034429e-02	-7.709637e-02
5.704857597034429e-02	-7.660601e-02
5.804857597034429e-02	-7.604257e-02
5.904857597034429e-02	-7.540727e-02
6.004857597034429e-02	-7.470096e-02
6.104857597034429e-02	-7.392444e-02
6.204857597034429e-02	-7.307840e-02
6.304857597034429e-02	-7.216336e-02
6.504857597034429e-02	-7.012619e-02
6.604857597034429e-02	-6.900237e-02
6.704857597034429e-02	-6.780545e-02
6.804857597034429e-02	-6.653115e-02
6.904857597034429e-02	-6.517703e-02
7.204857597034429e-02	-6.073067e-02
7.404857597034430e-02	-5.746592e-02
7.604857597034430e-02	-5.397557e-02
7.804857597034430e-02	-5.027330e-02
8.004857597034430e-02	-4.637356e-02
8.204857597034430e-02	-4.229158e-02
8.404857597034431e-02	-3.804326e-02
8.504857597034431e-02	-3.586183e-02
8.704857597034431e-02	-3.139484e-02
8.904857597034431e-02	-2.680332e-02
9.004857597034431e-02	-2.446624e-02
9.104857597034431e-02	-2.210445e-02
9.204857597034431e-02	-1.971979e-02
9.304857597034431e-02	-1.731332e-02
9.404857597034431e-02	-1.487112e-02
9.704857597034432e-02	-7.407859e-03
9.804857597034432e-02	-4.902099e-03
9.904857597034432e-02	-2.391677e-03
1.000485759703443e-01	1.213591e-04
1.010485759703443e-01	2.634031e-03
1.020485759703443e-01	5.144346e-03
1.060485759703443e-01	1.510978e-02
1.070485759703443e-01	1.754785e-02
1.080485759703443e-01	1.995225e-02
1.090485759703443e-01	2.233478e-02
1.100485759703443e-01	2.469428e-02
1.110485759703443e-01	2.702885e-02
1.130485759703443e-01	3.161473e-02
1.150485759703443e-01	3.607525e-02
1.160485759703443e-01	3.825315e-02
1.180485759703443e-01	4.249376e-02
1.200485759703443e-01	4.656725e-02
1.220485759703443e-01	5.045775e-02
1.240485759703443e-01	5.415006e-02
1.260485759703443e-01	5.762976e-02
1.280485759703443e-01	6.088322e-02
1.310485759703443e-01	6.531157e-02
1.320485759703443e-01	6.665850e-02
1.330485759703443e-01	6.792498e-02
1.340485759703443e-01	6.911467e-02
1.370485759703443e-01	7.225527e-02
1.380485759703443e-01	7.316362e-02
1.390485759703443e-01	7.400293e-02
1.400485759703443e-01	7.477266e-02
1.410485759703443e-01	7.547212e-02
1.420485759703443e-01	7.610048e-02
1.430485759703443e-01	7.665689e-02
1.440485759703443e-01	7.714006e-02
1.450485759703443e-01	7.754903e-02
1.460485759703443e-01	7.788346e-02
1.470485759703443e-01	7.814305e-02
1.480485759703443e-01	7.832758e-02
1.490485759703443e-01	7.843690e-02
1.500485759703444e-01	7.847092e-02
1.510485759703444e-01	7.842959e-02
1.520485759703444e-01	7.831296e-02
1.530485759703444e-01	7.812112e-02
1.540485759703444e-01	7.785425e-02
1.550485759703444e-01	7.751257e-02
1.560485759703444e-01	7.709637e-02
1.570485759703444e-01	7.660601e-02
1.580485759703444e-01	7.604258e-02
1.590485759703444e-01	7.540727e-02
1.600485759703444e-01	7.470096e-02
1.610485759703444e-01	7.392443e-02
1.620485759703444e-01	7.307840e-02
1.630485759703444e-01	7.216336e-02
1.650485759703444e-01	7.012619e-02
1.660485759703444e-01	6.900237e-02
1.670485759703444e-01	6.780545e-02
1.680485759703444e-01	6.653116e-02
1.690485759703444e-01	6.517702e-02
1.720485759703444e-01	6.073067e-02
1.740485759703444e-01	5.746592e-02
1.760485759703444e-01	5.397558e-02
1.780485759703444e-01	5.027330e-02
1.800485759703444e-01	4.637357e-02
1.820485759703444e-01	4.229159e-02
1.840485759703444e-01	3.804327e-02
1.860485759703444e-01	3.364497e-02
1.880485759703444e-01	2.911356e-02
1.890485759703444e-01	2.680331e-02
1.900485759703444e-01	2.446624e-02
1.910485759703444e-01	2.210444e-02
1.920485759703444e-01	1.971980e-02
1.930485759703444e-01	1.731331e-02
1.940485759703444e-01	1.487117e-02
1.980485759703444e-01	4.902144e-03
1.990485759703444e-01	2.391632e-03
2.000485759703444e-01	-1.213158e-04
2.010485759703444e-01	-2.634073e-03
2.020485759703444e-01	-5.144305e-03
2.060485759703444e-01	-1.510974e-02
2.070485759703444e-01	-1.754786e-02
2.080485759703444e-01	-1.995224e-02
2.090485759703444e-01	-2.233479e-02
2.100485759703444e-01	-2.469428e-02
2.110485759703444e-01	-2.702885e-02
2.130485759703444e-01	-3.161474e-02
2.150485759703444e-01	-3.607525e-02
2.160485759703444e-01	-3.825314e-02
2.180485759703444e-01	-4.249376e-02
2.200485759703444e-01	-4.656725e-02
2.220485759703444e-01	-5.045774e-02
2.240485759703444e-01	-5.415006e-02
2.260485759703444e-01	-5.762976e-02
2.290485759703444e-01	-6.242110e-02
2.310485759703444e-01	-6.531157e-02
2.320485759703444e-01	-6.665849e-02
2.330485759703444e-01	-6.792498e-02
2.340485759703444e-01	-6.911466e-02
2.370485759703444e-01	-7.225527e-02
2.380485759703444e-01	-7.316362e-02
2.390485759703444e-01	-7.400293e-02
2.400485759703444e-01	-7.477266e-02
2.410485759703444e-01	-7.547212e-02
2.420485759703444e-01	-7.610048e-02
2.430485759703444e-01	-7.665689e-02
2.440485759703444e-01	-7.714006e-02
2.450485759703444e-01	-7.754904e-02
2.460485759703444e-01	-7.788346e-02
2.470485759703444e-01	-7.814305e-02
2.480485759703444e-01	-7.832758e-02
2.490485759703444e-01	-7.843690e-02
2.500485759703444e-01	-7.847092e-02
2.510485759703444e-01	-7.842959e-02
2.520485759703444e-01	-7.831295e-02
2.530485759703444e-01	-7.812112e-02
2.540485759703444e-01	-7.785425e-02
2.550485759703444e-01	-7.751257e-02
2.560485759703444e-01	-7.709637e-02
2.570485759703444e-01	-7.660601e-02
2.580485759703444e-01	-7.604258e-02
2.590485759703444e-01	-7.540727e-02
2.600485759703444e-01	-7.470096e-02
2.610485759703444e-01	-7.392444e-02
2.620485759703444e-01	-7.307840e-02
2.630485759703444e-01	-7.216336e-02
2.650485759703444e-01	-7.012619e-02
2.660485759703444e-01	-6.900237e-02
2.670485759703444e-01	-6.780545e-02
2.680485759703444e-01	-6.653116e-02
2.690485759703444e-01	-6.517703e-02
2.720485759703444e-01	-6.073067e-02
2.740485759703444e-01	-5.746592e-02
2.760485759703444e-01	-5.397557e-02
2.780485759703444e-01	-5.027330e-02
2.800485759703444e-01	-4.637356e-02
2.820485759703444e-01	-4.229158e-02
2.840485759703444e-01	-3.804326e-02
2.860485759703444e-01	-3.364497e-02
2.880485759703444e-01	-2.911356e-02
2.890485759703444e-01	-2.680332e-02
2.900485759703444e-01	-2.446624e-02
2.910485759703444e-01	-2.210445e-02
2.920485759703444e-01	-1.971979e-02
2.930485759703444e-01	-1.731332e-02
2.940485759703445e-01	-1.487113e-02
2.980485759703445e-01	-4.902113e-03
2.990485759703445e-01	-2.391663e-03
3.000485759703445e-01	1.213459e-04
3.010485759703445e-01	2.634044e-03
3.020485759703445e-01	5.144333e-03
3.060485759703445e-01	1.510977e-02
3.070485759703445e-01	1.754785e-02
3.080485759703445e-01	1.995225e-02
3.090485759703445e-01	2.233478e-02
3.100485759703445e-01	2.469428e-02
3.110485759703445e-01	2.702885e-02
3.130485759703445e-01	3.161473e-02
3.150485759703445e-01	3.607525e-02
3.160485759703445e-01	3.825314e-02
3.180485759703445e-01	4.249376e-02
3.200485759703445e-01	4.656725e-02
3.220485759703445e-01	5.045775e-02
3.240485759703445e-01	5.415006e-02
3.260485759703445e-01	5.762976e-02
3.280485759703445e-01	6.088322e-02
3.310485759703445e-01	6.531157e-02
3.320485759703445e-01	6.665850e-02
3.330485759703445e-01	6.792498e-02
3.340485759703445e-01	6.911467e-02
3.370485759703445e-01	7.225527e-02
3.380485759703445e-01	7.316362e-02
3.390485759703445e-01	7.400293e-02
3.400485759703445e-01	7.477266e-02
3.410485759703445e-01	7.547212e-02
3.420485759703445e-01	7.610048e-02
3.430485759703445e-01	7.665689e-02
3.440485759703445e-01	7.714006e-02
3.450485759703445e-01	7.754903e-02
3.460485759703445e-01	7.788346e-02
3.470485759703445e-01	7.814305e-02
3.480485759703445e-01	7.832758e-02
3.490485759703445e-01	7.843690e-02
3.500485759703445e-01	7.847092e-02
3.510485759703445e-01	7.842959e-02
3.520485759703445e-01	7.831296e-02
3.530485759703445e-01	7.812112e-02
3.540485759703445e-01	7.785425e-02
3.550485759703445e-01	7.751257e-02
3.560485759703445e-01	7.709637e-02
3.570485759703445e-01	7.660601e-02
3.580485759703445e-01	7.604258e-02
3.590485759703445e-01	7.540727e-02
3.600485759703445e-01	7.470096e-02
3.610485759703445e-01	7.392444e-02
3.620485759703445e-01	7.307840e-02
3.630485759703445e-01	7.216336e-02
3.650485759703445e-01	7.012619e-02
3.660485759703445e-01	6.900237e-02
3.670485759703445e-01	6.780545e-02
3.680485759703445e-01	6.653116e-02
3.690485759703445e-01	6.517702e-02
3.720485759703445e-01	6.073067e-02
3.740485759703445e-01	5.746592e-02
3.760485759703445e-01	5.397558e-02
3.780485759703445e-01	5.027330e-02
3.800485759703445e-01	4.637357e-02
3.820485759703445e-01	4.229159e-02
3.840485759703445e-01	3.804327e-02
3.860485759703445e-01	3.364497e-02
3.880485759703445e-01	2.911356e-02
3.890485759703445e-01	2.680331e-02
3.900485759703445e-01	2.446624e-02
3.910485759703445e-01	2.210444e-02
3.920485759703445e-01	1.971980e-02
3.930485759703445e-01	1.731331e-02
3.940485759703445e-01	1.487116e-02
3.980485759703445e-01	4.902135e-03
3.990485759703445e-01	2.391642e-03
4.000485759703445e-01	-1.213250e-04
4.010485759703445e-01	-2.634064e-03
4.020485759703445e-01	-5.144313e-03
4.060485759703445e-01	-1.510975e-02
4.070485759703446e-01	-1.754786e-02
4.080485759703446e-01	-1.995224e-02
4.090485759703446e-01	-2.233479e-02
4.100485759703446e-01	-2.469428e-02
4.110485759703446e-01	-2.702885e-02
4.130485759703446e-01	-3.161474e-02
4.150485759703446e-01	-3.607525e-02
4.160485759703446e-01	-3.825314e-02
4.180485759703446e-01	-4.249376e-02
4.200485759703446e-01	-4.656725e-02
4.220485759703446e-01	-5.045775e-02
4.240485759703446e-01	-5.415006e-02
4.260485759703446e-01	-5.762976e-02
4.280485759703446e-01	-6.088322e-02
4.310485759703446e-01	-6.531157e-02
4.320485759703446e-01	-6.665849e-02
4.330485759703446e-01	-6.792498e-02
4.340485759703446e-01	-6.911467e-02
4.370485759703446e-01	-7.225527e-02
4.380485759703446e-01	-7.316362e-02
4.390485759703446e-01	-7.400293e-02
4.400485759703446e-01	-7.477266e-02
4.410485759703446e-01	-7.547212e-02
4.420485759703446e-01	-7.610048e-02
4.430485759703446e-01	-7.665689e-02
4.440485759703446e-01	-7.714006e-02
4.450485759703446e-01	-7.754904e-02
4.460485759703446e-01	-7.788346e-02
4.470485759703446e-01	-7.814305e-02
4.480485759703446e-01	-7.832758e-02
4.490485759703446e-01	-7.843690e-02
4.500485759703446e-01	-7.847092e-02
4.510485759703446e-01	-7.842959e-02
4.520485759703446e-01	-7.831295e-02
4.530485759703446e-01	-7.812112e-02
4.540485759703446e-01	-7.785425e-02
4.550485759703446e-01	-7.751257e-02
4.560485759703446e-01	-7.709637e-02
4.570485759703446e-01	-7.660601e-02
4.580485759703446e-01	-7.604258e-02
4.590485759703446e-01	-7.540727e-02
4.600485759703446e-01	-7.470096e-02
4.610485759703446e-01	-7.392444e-02
4.620485759703446e-01	-7.307840e-02
4.630485759703446e-01	-7.216336e-02
4.650485759703446e-01	-7.012619e-02
4.660485759703446e-01	-6.900237e-02
4.670485759703446e-01	-6.780545e-02
4.680485759703446e-01	-6.653116e-02
4.690485759703446e-01	-6.517702e-02
4.720485759703446e-01	-6.073067e-02
4.740485759703446e-01	-5.746592e-02
4.760485759703446e-01	-5.397557e-02
4.780485759703446e-01	-5.027330e-02
4.800485759703446e-01	-4.637356e-02
4.820485759703446e-01	-4.229158e-02
4.840485759703446e-01	-3.804327e-02
4.860485759703446e-01	-3.364497e-02
4.880485759703446e-01	-2.911356e-02
4.890485759703446e-01	-2.680331e-02
4.900485759703446e-01	-2.446624e-02
4.910485759703446e-01	-2.210444e-02
4.920485759703446e-01	-1.971979e-02
4.930485759703446e-01	-1.731332e-02
4.940485759703446e-01	-1.487114e-02
4.980485759703446e-01	-4.902120e-03
4.990485759703446e-01	-2.391657e-03
5.000485759703446e-01	1.213395e-04
5.010485759703446e-01	2.634050e-03
5.020485759703446e-01	5.144327e-03
5.060485759703446e-01	1.510977e-02
5.070485759703446e-01	1.754785e-02
5.080485759703446e-01	1.995224e-02
5.090485759703446e-01	2.233478e-02
5.100485759703446e-01	2.469428e-02
5.110485759703446e-01	2.702885e-02
5.130485759703446e-01	3.161473e-02
5.150485759703446e-01	3.607525e-02
5.160485759703446e-01	3.825314e-02
5.180485759703446e-01	4.249376e-02
5.200485759703446e-01	4.656725e-02
5.220485759703446e-01	5.045775e-02
5.240485759703446e-01	5.415006e-02
5.260485759703446e-01	5.762976e-02
5.280485759703446e-01	6.088322e-02
5.310485759703446e-01	6.531157e-02
5.320485759703446e-01	6.665850e-02
5.330485759703446e-01	6.792498e-02
5.340485759703446e-01	6.911467e-02
5.370485759703446e-01	7.225527e-02
5.380485759703446e-01	7.316362e-02
5.390485759703446e-01	7.400293e-02
5.400485759703446e-01	7.477266e-02
5.410485759703446e-01	7.547212e-02
5.420485759703446e-01	7.610048e-02
5.430485759703446e-01	7.665689e-02
5.440485759703446e-01	7.714006e-02
5.450485759703446e-01	7.754903e-02
5.460485759703446e-01	7.788346e-02
5.470485759703446e-01	7.814305e-02
5.480485759703446e-01	7.832758e-02
5.490485759703446e-01	7.843690e-02
5.500485759703446e-01	7.847092e-02
5.510485759703446e-01	7.842959e-02
5.520485759703446e-01	7.831296e-02
5.530485759703446e-01	7.812112e-02
5.540485759703446e-01	7.785425e-02
5.550485759703446e-01	7.751257e-02
5.560485759703446e-01	7.709637e-02
5.570485759703446e-01	7.660601e-02
5.580485759703446e-01	7.604258e-02
5.590485759703446e-01	7.540727e-02
5.600485759703446e-01	7.470096e-02
5.610485759703446e-01	7.392444e-02
5.620485759703446e-01	7.307840e-02
5.630485759703446e-01	7.216336e-02
5.650485759703446e-01	7.012619e-02
5.660485759703446e-01	6.900237e-02
5.670485759703446e-01	6.780545e-02
5.680485759703446e-01	6.653116e-02
5.690485759703446e-01	6.517702e-02
5.720485759703446e-01	6.073067e-02
5.740485759703446e-01	5.746592e-02
5.760485759703446e-01	5.397558e-02
5.780485759703446e-01	5.027330e-02
5.800485759703446e-01	4.637356e-02
5.820485759703447e-01	4.229159e-02
5.840485759703447e-01	3.804327e-02
5.860485759703447e-01	3.364497e-02
5.880485759703447e-01	2.911356e-02
5.890485759703447e-01	2.680331e-02
5.900485759703447e-01	2.446624e-02
5.910485759703447e-01	2.210444e-02
5.920485759703447e-01	1.971980e-02
5.930485759703447e-01	1.731331e-02
5.940485759703447e-01	1.487115e-02
5.980485759703447e-01	4.902130e-03
5.990485759703447e-01	2.391646e-03
6.000485759703447e-01	-1.213294e-04
6.010485759703447e-01	-2.634059e-03
6.020485759703447e-01	-5.144318e-03
6.060485759703447e-01	-1.510976e-02
6.070485759703447e-01	-1.754785e-02
6.080485759703447e-01	-1.995224e-02
6.090485759703447e-01	-2.233479e-02
6.100485759703447e-01	-2.469428e-02
6.110485759703447e-01	-2.702885e-02
6.130485759703447e-01	-3.161474e-02
6.150485759703447e-01	-3.607525e-02
6.160485759703447e-01	-3.825314e-02
6.180485759703447e-01	-4.249376e-02
6.200485759703447e-01	-4.656725e-02
6.220485759703447e-01	-5.045775e-02
6.240485759703447e-01	-5.415006e-02
6.260485759703447e-01	-5.762976e-02
6.280485759703447e-01	-6.088322e-02
6.310485759703447e-01	-6.531157e-02
6.320485759703447e-01	-6.665849e-02
6.330485759703447e-01	-6.792498e-02
6.340485759703447e-01	-6.911467e-02
6.370485759703447e-01	-7.225527e-02
6.380485759703447e-01	-7.316362e-02
6.390485759703447e-01	-7.400293e-02
6.400485759703447e-01	-7.477266e-02
6.410485759703447e-01	-7.547212e-02
6.420485759703447e-01	-7.610048e-02
6.430485759703447e-01	-7.665689e-02
6.440485759703447e-01	-7.714006e-02
6.450485759703447e-01	-7.754904e-02
6.460485759703447e-01	-7.788346e-02
6.470485759703447e-01	-7.814305e-02
6.480485759703447e-01	-7.832758e-02
